state,demand_raw,score_demand,score_combo,score_renewables
California,31006,0.2571535440433888,0.2571535440433888,0.5
North Carolina,20567,0.11770285073071682,0.11770285073071682,0.5
South Carolina,20567,0.11770285073071682,0.11770285073071682,0.5
Arkansas,28832,0.22811189184856662,0.22811189184856662,0.5
Kansas,28832,0.22811189184856662,0.22811189184856662,0.5
Louisiana,28832,0.22811189184856662,0.22811189184856662,0.5
Missouri,28832,0.22811189184856662,0.22811189184856662,0.5
Nebraska,28832,0.22811189184856662,0.22811189184856662,0.5
Oklahoma,28832,0.22811189184856662,0.22811189184856662,0.5
Florida,20404,0.11552539474738839,0.11552539474738839,0.5
Delaware,86614,1.0,1.0,0.5
District of Columbia,86614,1.0,1.0,0.5
Maryland,86614,1.0,1.0,0.5
New Jersey,86614,1.0,1.0,0.5
Pennsylvania,86614,1.0,1.0,0.5
Virginia,86614,1.0,1.0,0.5
West Virginia,86614,1.0,1.0,0.5
Illinois,72762,0.8149563172940768,0.8149563172940768,0.5
Indiana,72762,0.8149563172940768,0.8149563172940768,0.5
Iowa,72762,0.8149563172940768,0.8149563172940768,0.5
Kentucky,72762,0.8149563172940768,0.8149563172940768,0.5
Michigan,72762,0.8149563172940768,0.8149563172940768,0.5
Minnesota,72762,0.8149563172940768,0.8149563172940768,0.5
North Dakota,72762,0.8149563172940768,0.8149563172940768,0.5
Ohio,72762,0.8149563172940768,0.8149563172940768,0.5
South Dakota,72762,0.8149563172940768,0.8149563172940768,0.5
Wisconsin,72762,0.8149563172940768,0.8149563172940768,0.5
Connecticut,12716,0.012824280638007961,0.012824280638007961,0.5
Maine,12716,0.012824280638007961,0.012824280638007961,0.5
Massachusetts,12716,0.012824280638007961,0.012824280638007961,0.5
New Hampshire,12716,0.012824280638007961,0.012824280638007961,0.5
Rhode Island,12716,0.012824280638007961,0.012824280638007961,0.5
Vermont,12716,0.012824280638007961,0.012824280638007961,0.5
Idaho,42173,0.4063293168398835,0.4063293168398835,0.5
Montana,42173,0.4063293168398835,0.4063293168398835,0.5
Oregon,42173,0.4063293168398835,0.4063293168398835,0.5
Washington,42173,0.4063293168398835,0.4063293168398835,0.5
Wyoming,42173,0.4063293168398835,0.4063293168398835,0.5
New York,15395,0.04861203879344893,0.04861203879344893,0.5
Alabama,20818,0.12105586577252932,0.12105586577252932,0.5
Georgia,20818,0.12105586577252932,0.12105586577252932,0.5
Mississippi,20818,0.12105586577252932,0.12105586577252932,0.5
Arizona,11756,0.0,0.0,0.5
Colorado,11756,0.0,0.0,0.5
New Mexico,11756,0.0,0.0,0.5
Nevada,11756,0.0,0.0,0.5
Utah,11756,0.0,0.0,0.5
Tennessee,15105,0.04473803735071736,0.04473803735071736,0.5
Texas,50989,0.5240989606989233,0.5240989606989233,0.5
